ID,ID,ID,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
14,14,14,7.28,0.45,0.0,0.08,7.81
14,14,14,7.28,0.45,0.0,0.08,7.81
18,18,18,3.92,1.78,0.03,0.51,6.24
9,9,9,3.18,1.83,0.78,0.24,6.03
6,6,6,0.47,0.57,4.13,0.34,5.5
7,7,7,1.73,2.19,0.0,0.79,4.7
7,7,7,1.73,2.19,0.0,0.79,4.7
20,20,20,2.23,1.34,0.07,0.61,4.25
20,20,20,2.23,1.34,0.07,0.61,4.25
17,17,17,1.98,0.88,0.59,0.32,3.76
21,21,21,0.96,2.0,0.21,0.56,3.73
21,21,21,0.96,2.0,0.21,0.56,3.73
20,20,20,2.2,0.97,0.02,0.31,3.5
20,20,20,2.2,0.97,0.02,0.31,3.5
11,11,11,2.03,1.03,0.0,0.32,3.38
11,11,11,2.03,1.03,0.0,0.32,3.38
11,11,11,2.03,1.03,0.0,0.32,3.38
11,11,11,2.03,1.03,0.0,0.32,3.38
11,11,11,2.03,1.03,0.0,0.32,3.38
11,11,11,2.03,1.03,0.0,0.32,3.38
8,8,8,1.5,1.28,0.05,0.46,3.28
8,8,8,1.5,1.28,0.05,0.46,3.28
11,11,11,1.86,1.02,0.0,0.29,3.17
11,11,11,1.86,1.02,0.0,0.29,3.17
11,11,11,1.86,1.02,0.0,0.29,3.17
11,11,11,1.86,1.02,0.0,0.29,3.17
11,11,11,1.86,1.02,0.0,0.29,3.17
11,11,11,1.86,1.02,0.0,0.29,3.17
11,11,11,1.79,1.06,0.0,0.29,3.15
11,11,11,1.79,1.06,0.0,0.29,3.15
11,11,11,1.79,1.06,0.0,0.29,3.15
11,11,11,1.79,1.06,0.0,0.29,3.15
11,11,11,1.79,1.06,0.0,0.29,3.15
11,11,11,1.79,1.06,0.0,0.29,3.15
8,8,8,1.94,0.86,0.03,0.24,3.07
8,8,8,1.94,0.86,0.03,0.24,3.07
13,13,13,1.85,1.04,0.0,0.13,3.02
13,13,13,1.85,1.04,0.0,0.13,3.02
17,17,17,0.46,0.29,1.96,0.07,2.79
17,17,17,0.46,0.29,1.96,0.07,2.79
19,19,19,0.99,0.48,1.09,0.14,2.7
13,13,13,1.15,1.11,0.0,0.4,2.65
13,13,13,1.15,1.11,0.0,0.4,2.65
8,8,8,0.9,1.22,0.04,0.44,2.61
8,8,8,0.9,1.22,0.04,0.44,2.61
8,8,8,0.9,1.22,0.04,0.44,2.61
6,6,6,0.37,0.27,1.75,0.18,2.58
10,10,10,2.29,0.02,0.0,0.19,2.5
16,16,16,1.0,0.76,0.26,0.36,2.38
18,18,18,1.38,0.74,0.02,0.22,2.36
8,8,8,0.85,1.06,0.09,0.32,2.31
6,6,6,0.62,0.44,1.06,0.13,2.25
17,17,17,0.67,0.41,1.05,0.11,2.25
17,17,17,0.67,0.41,1.05,0.11,2.25
17,17,17,0.9,0.45,0.63,0.13,2.11
22,22,22,0.94,0.07,1.05,0.04,2.1
9,9,9,0.46,0.42,0.96,0.25,2.09
3,3,3,0.63,0.42,0.75,0.26,2.07
8,8,8,1.21,0.64,0.05,0.09,1.99
8,8,8,1.21,0.64,0.05,0.09,1.99
8,8,8,1.21,0.64,0.05,0.09,1.99
10,10,10,0.95,0.64,0.27,0.13,1.99
8,8,8,0.75,1.09,0.02,0.12,1.98
8,8,8,0.75,1.09,0.02,0.12,1.98
8,8,8,0.75,1.09,0.02,0.12,1.98
17,17,17,0.96,0.53,0.3,0.09,1.87
6,6,6,0.41,0.46,0.72,0.19,1.78
16,16,16,0.39,1.01,0.02,0.36,1.78
2,2,2,1.15,0.44,0.0,0.14,1.73
2,2,2,1.15,0.44,0.0,0.14,1.73
2,2,2,1.15,0.44,0.0,0.14,1.73
12,12,12,0.45,1.02,0.0,0.2,1.67
14,14,14,1.54,0.1,0.0,0.02,1.65
14,14,14,1.52,0.1,0.0,0.02,1.64
5,5,5,0.8,0.53,0.0,0.22,1.55
5,5,5,0.8,0.53,0.0,0.22,1.55
13,13,13,0.82,0.59,0.0,0.07,1.48
13,13,13,0.82,0.59,0.0,0.07,1.48
3,3,3,0.47,0.37,0.52,0.12,1.48
5,5,5,0.95,0.4,0.0,0.12,1.47
5,5,5,0.95,0.4,0.0,0.12,1.47
9,9,9,0.45,0.4,0.44,0.18,1.47
8,8,8,0.63,0.59,0.03,0.21,1.46
8,8,8,0.63,0.59,0.03,0.21,1.46
6,6,6,0.37,0.47,0.54,0.07,1.45
2,2,2,0.96,0.37,0.0,0.11,1.43
2,2,2,0.96,0.37,0.0,0.11,1.43
2,2,2,0.96,0.37,0.0,0.11,1.43
3,3,3,0.5,0.6,0.07,0.23,1.39
3,3,3,0.5,0.6,0.07,0.23,1.39
3,3,3,0.76,0.48,0.02,0.12,1.39
3,3,3,0.76,0.48,0.02,0.12,1.39
11,11,11,0.76,0.47,0.0,0.13,1.36
7,7,7,0.7,0.58,0.0,0.07,1.35
7,7,7,0.7,0.58,0.0,0.07,1.35
17,17,17,0.51,0.17,0.58,0.06,1.33
21,21,21,0.4,0.36,0.4,0.17,1.32
11,11,11,0.72,0.42,0.0,0.19,1.32
11,11,11,0.72,0.42,0.0,0.19,1.32
11,11,11,0.72,0.42,0.0,0.19,1.32
11,11,11,0.72,0.42,0.0,0.19,1.32
11,11,11,0.72,0.42,0.0,0.19,1.32
11,11,11,0.72,0.42,0.0,0.19,1.32
11,11,11,0.57,0.46,0.0,0.28,1.32
11,11,11,0.57,0.46,0.0,0.28,1.32
11,11,11,0.57,0.46,0.0,0.28,1.32
11,11,11,0.57,0.46,0.0,0.28,1.32
11,11,11,0.57,0.46,0.0,0.28,1.32
11,11,11,0.57,0.46,0.0,0.28,1.32
8,8,8,0.69,0.48,0.0,0.13,1.3
17,17,17,0.48,0.35,0.36,0.07,1.28
1,1,1,0.63,0.49,0.0,0.16,1.28
14,14,14,0.49,0.38,0.26,0.13,1.27
11,11,11,0.72,0.03,0.0,0.52,1.27
11,11,11,0.72,0.03,0.0,0.52,1.27
11,11,11,0.72,0.03,0.0,0.52,1.27
11,11,11,0.72,0.03,0.0,0.52,1.27
11,11,11,0.72,0.03,0.0,0.52,1.27
11,11,11,0.72,0.03,0.0,0.52,1.27
11,11,11,0.63,0.51,0.0,0.11,1.26
11,11,11,0.63,0.51,0.0,0.11,1.26
20,20,20,0.61,0.48,0.0,0.16,1.25
13,13,13,0.52,0.56,0.0,0.17,1.25
13,13,13,0.52,0.56,0.0,0.17,1.25
19,19,19,0.61,0.48,0.0,0.16,1.24
21,21,21,0.29,0.19,0.67,0.09,1.24
21,21,21,0.66,0.47,0.0,0.11,1.24
21,21,21,0.66,0.47,0.0,0.11,1.24
21,21,21,0.27,0.08,0.85,0.02,1.22
21,21,21,0.27,0.08,0.85,0.02,1.22
17,17,17,0.56,0.36,0.19,0.09,1.19
8,8,8,0.51,0.51,0.01,0.13,1.17
8,8,8,0.51,0.51,0.01,0.13,1.17
8,8,8,0.31,0.59,0.02,0.22,1.14
8,8,8,0.31,0.59,0.02,0.22,1.14
13,13,13,0.26,0.75,0.0,0.14,1.14
8,8,8,0.71,0.38,0.0,0.05,1.14
8,8,8,0.71,0.38,0.0,0.05,1.14
17,17,17,0.33,0.37,0.37,0.06,1.13
9,9,9,0.5,0.37,0.1,0.16,1.12
4,4,4,0.0,0.0,1.1,0.0,1.1
11,11,11,0.36,0.53,0.0,0.21,1.1
11,11,11,0.36,0.53,0.0,0.21,1.1
17,17,17,0.54,0.21,0.31,0.04,1.1
14,14,14,0.78,0.29,0.0,0.02,1.09
8,8,8,0.55,0.43,0.0,0.11,1.08
8,8,8,0.55,0.43,0.0,0.11,1.08
13,13,13,0.47,0.41,0.03,0.18,1.08
13,13,13,0.47,0.41,0.03,0.18,1.08
2,2,2,0.67,0.3,0.0,0.1,1.07
7,7,7,1.03,0.02,0.0,0.0,1.06
8,8,8,0.62,0.32,0.0,0.1,1.05
8,8,8,0.62,0.32,0.0,0.1,1.05
20,20,20,0.58,0.4,0.0,0.07,1.04
15,15,15,0.65,0.22,0.05,0.1,1.01
13,13,13,0.54,0.35,0.02,0.1,1.01
13,13,13,0.54,0.35,0.02,0.1,1.01
2,2,2,0.48,0.35,0.0,0.16,1.0
2,2,2,0.48,0.35,0.0,0.16,1.0
2,2,2,0.48,0.35,0.0,0.16,1.0
